,concentration,batch,subidx
0,-6,1,1
1,-6,1,2
2,-6,1,3
3,-6,2,1
4,-6,2,2
5,-6,2,3
6,-6,3,1
7,-6,3,2
8,-6,3,3
9,-6,4,1
10,-6,4,2
11,-6,4,3
12,-6,5,1
13,-6,5,2
14,-6,5,3
15,-6,6,1
16,-6,6,2
17,-6,6,3
18,-6,7,1
19,-6,7,2
20,-6,7,3
21,-6,8,1
22,-6,8,2
23,-6,8,3
24,-6,9,1
25,-6,9,2
26,-6,9,3
27,-6,10,1
28,-6,10,2
29,-6,10,3
30,-7,1,1
31,-7,1,2
32,-7,1,3
33,-7,2,1
34,-7,2,2
35,-7,2,3
36,-7,3,1
37,-7,3,2
38,-7,3,3
39,-7,4,1
40,-7,4,2
41,-7,4,3
42,-7,5,1
43,-7,5,2
44,-7,5,3
45,-7,6,1
46,-7,6,2
47,-7,6,3
48,-7,7,1
49,-7,7,2
50,-7,7,3
51,-7,8,1
52,-7,8,2
53,-7,8,3
54,-7,9,1
55,-7,9,2
56,-7,9,3
57,-7,10,1
58,-7,10,2
59,-7,10,3
60,-8,1,1
61,-8,1,2
62,-8,1,3
63,-8,2,1
64,-8,2,2
65,-8,2,3
66,-8,3,1
67,-8,3,2
68,-8,3,3
69,-8,4,1
70,-8,4,2
71,-8,4,3
72,-8,5,1
73,-8,5,2
74,-8,5,3
75,-8,6,1
76,-8,6,2
77,-8,6,3
78,-8,7,1
79,-8,7,2
80,-8,7,3
81,-8,8,1
82,-8,8,2
83,-8,8,3
84,-8,9,1
85,-8,9,2
86,-8,9,3
87,-8,10,1
88,-8,10,2
89,-8,10,3
90,-9,1,1
91,-9,1,2
92,-9,1,3
93,-9,2,1
94,-9,2,2
95,-9,2,3
96,-9,3,1
97,-9,3,2
98,-9,3,3
99,-9,4,1
100,-9,4,2
101,-9,4,3
102,-9,5,1
103,-9,5,2
104,-9,5,3
105,-9,6,1
106,-9,6,2
107,-9,6,3
108,-9,7,1
109,-9,7,2
110,-9,7,3
111,-9,8,1
112,-9,8,2
113,-9,8,3
114,-9,9,1
115,-9,9,2
116,-9,9,3
117,-9,10,1
118,-9,10,2
119,-9,10,3
120,-10,1,1
121,-10,1,2
122,-10,1,3
123,-10,2,1
124,-10,2,2
125,-10,2,3
126,-10,3,1
127,-10,3,2
128,-10,3,3
129,-10,4,1
130,-10,4,2
131,-10,4,3
132,-10,5,1
133,-10,5,2
134,-10,5,3
135,-10,6,1
136,-10,6,2
137,-10,6,3
138,-10,7,1
139,-10,7,2
140,-10,7,3
141,-10,8,1
142,-10,8,2
143,-10,8,3
144,-10,9,1
145,-10,9,2
146,-10,9,3
147,-10,10,1
148,-10,10,2
149,-10,10,3
150,-11,1,1
151,-11,1,2
152,-11,1,3
153,-11,2,1
154,-11,2,2
155,-11,2,3
156,-11,3,1
157,-11,3,2
158,-11,3,3
159,-11,4,1
160,-11,4,2
161,-11,4,3
162,-11,5,1
163,-11,5,2
164,-11,5,3
165,-11,6,1
166,-11,6,2
167,-11,6,3
168,-11,7,1
169,-11,7,2
170,-11,7,3
171,-11,8,1
172,-11,8,2
173,-11,8,3
174,-11,9,1
175,-11,9,2
176,-11,9,3
177,-11,10,1
178,-11,10,2
179,-11,10,3
180,0,1,1
181,0,1,2
182,0,1,3
183,0,2,1
184,0,2,2
185,0,2,3
186,0,3,1
187,0,3,2
188,0,3,3
189,0,4,1
190,0,4,2
191,0,4,3
192,0,5,1
193,0,5,2
194,0,5,3
195,0,6,1
196,0,6,2
197,0,6,3
198,0,7,1
199,0,7,2
200,0,7,3
201,0,8,1
202,0,8,2
203,0,8,3
204,0,9,1
205,0,9,2
206,0,9,3
207,0,10,1
208,0,10,2
209,0,10,3
