nm,T
1000.0,41.797801
995.0,38.147538
990.0,35.211058
985.0,35.562498
980.0,37.277264
975.0,34.604294
970.0,32.149099
965.0,32.45707
960.0,27.350905
955.0,29.844532
950.0,29.01461
945.0,22.882013
940.0,25.844144
935.0,24.233727
930.0,27.152634
925.0,17.14473
920.0,23.529581
915.0,12.930854
910.0,23.361692
905.0,19.824672
900.0,17.438259
895.0,23.201156
890.0,-1.208871
885.0,5.148595
880.0,16.667894
875.0,26.233199
870.0,41.822021
865.0,-6.062517
860.0,11.301559
855.0,9.528032
850.0,7.746298
845.0,7.483452
840.0,8.055619
835.0,8.166217
830.0,6.702239
825.0,4.997092
820.0,4.232011
815.0,4.515492
810.0,6.029775
805.0,8.327888
800.0,10.318315
795.0,11.184741
790.0,10.636006
785.0,9.935759
780.0,10.768482
775.0,12.011211
770.0,11.956859
765.0,12.75341
760.0,15.139814
755.0,17.383799
750.0,18.599901
745.0,20.249837
740.0,22.040291
735.0,23.626641
730.0,24.326897
725.0,25.696752
720.0,27.915583
715.0,29.277542
710.0,30.298794
705.0,27.987571
700.0,25.755769
695.0,28.001266
690.0,31.891705
685.0,33.382245
680.0,36.678836
675.0,42.341834
670.0,45.323135
665.0,43.382181
660.0,36.974865
655.0,30.492326
650.0,25.993439
645.0,25.422827
640.0,28.493461
635.0,33.38933
630.0,36.260181
625.0,38.64768
620.0,41.235485
615.0,41.9484
610.0,40.121748
605.0,37.140563
600.0,34.128058
595.0,31.857312
590.0,30.547747
585.0,30.041668
580.0,29.903846
575.0,29.690747
570.0,29.087292
565.0,28.182839
560.0,27.154647
555.0,25.95661
550.0,24.825195
545.0,23.567664
540.0,22.395969
535.0,21.53774
530.0,20.782167
525.0,20.150176
520.0,19.668672
515.0,19.42884
510.0,19.255168
505.0,19.239466
500.0,19.336051
495.0,19.501552
490.0,19.852539
485.0,20.243002
480.0,20.840906
475.0,21.442975
470.0,22.057111
465.0,22.725579
460.0,23.215999
455.0,23.722885
450.0,24.249426
445.0,24.544133
440.0,24.906165
435.0,25.190058
430.0,25.408371
425.0,25.542474
420.0,25.764949
415.0,25.88904
410.0,26.095401
405.0,26.240099
400.0,26.201004
395.0,26.325688
390.0,26.442933
385.0,26.442237
380.0,26.618906
375.0,26.4792
370.0,26.179633
365.0,26.735271
360.0,26.932306
355.0,26.231326
350.0,25.936503
